name,url,keywords
Aihanmi Udekimenage,https://www.youtube.com/watch?v=nZ1e6eDOq_M,Aihanmi;John Bollinger;Katatedori;Miscellaneous;Tachi Waza;Tiado;Udekimenage
Ryotedori Shihonage Omote,https://www.youtube.com/watch?v=hD7Rbrnp-aA,5th Kyu;Jodan;John Bollinger;Omote;Ryotedori;Shihonage;Tachi Waza;Tiado
Gyakuhanmi Shihonage Omote,https://www.youtube.com/watch?v=G1NHjOGYXbU,3rd Kyu;Gyakuhanmi;Jodan;John Bollinger;Katatedori;Omote;Shihonage;Tachi Waza;Tiado
Shomenuchi Shihonage,https://www.youtube.com/watch?v=oq5vW20FoGc,2nd Kyu;Aihanmi;Jodan;John Bollinger;Omote;Shihonage;Shomenuchi;Tachi Waza;Tiado
Aihanmi Shihonage Omote,https://www.youtube.com/watch?v=nBFFeTNSIF8,4th Kyu;Aihanmi;Jodan;John Bollinger;Katatedori;Omote;Shihonage;Tachi Waza;Tiado
Aihanmi Shihonage (Discussion),https://www.youtube.com/watch?v=FntRqprgpog,4th Kyu;Aihanmi;Jodan;John Bollinger;Katatedori;Omote;Shihonage;Tachi Waza;Tiado
Gyakuhanmi Sankyo,https://www.youtube.com/watch?v=kgElAhnh1Ok,3rd Kyu;Gyakuhanmi;John Bollinger;Katatedori;Sankyo;Tachi Waza;Tiado;Ura
Zempo Gaidan Kushushi Nikyo (free hand),https://www.youtube.com/watch?v=yZylPH2fZ8s,Gyakuhanmi;John Bollinger;Katatedori;Miscellaneous;Nikyo;Tachi Waza;Tiado;Ura;Zempo Gedan Kushushi
Zempo Gaidan Kushushi Nikyo,https://www.youtube.com/watch?v=9TqbdW6RfSg,Gyakuhanmi;John Bollinger;Katatedori;Miscellaneous;Nikyo;Tachi Waza;Tiado;Ura;Zempo Gedan Kushushi
Gyakuhanmi Katatedori Nikyo,https://www.youtube.com/watch?v=xxyGZ2TWmKE,3rd Kyu;Gyakuhanmi;John Bollinger;Katatedori;Nikyo;Tachi Waza;Tiado;Ura
Gyakuhanmi Nikyo (elbow discussion),https://www.youtube.com/watch?v=PhHXZO8a8oc,3rd Kyu;Gyakuhanmi;John Bollinger;Katatedori;Nikyo;Tachi Waza;Tiado;Ura
Gyakuhanmi Katatedori Nikyo (advanced),https://www.youtube.com/watch?v=vsZk1BRlgXQ,Gyakuhanmi;John Bollinger;Katatedori;Miscellaneous;Nikyo;Tachi Waza;Tiado;Ura
Shomenuchi Nikyo (Discussion),https://www.youtube.com/watch?v=5LeaPAn3IkY,2nd Kyu;Aihanmi;Jodan;John Bollinger;Nikyo;Shomenuchi;Tachi Waza;Tiado;Ura
Shomenuchi Nikyo,https://www.youtube.com/watch?v=BBLehwVNbZo,2nd Kyu;Aihanmi;Jodan;John Bollinger;Nikyo;Shomenuchi;Tachi Waza;Tiado;Ura
Shomenuchi Nikyo,https://www.youtube.com/watch?v=_juXxWmuNok,2nd Kyu;Aihanmi;Jodan;John Bollinger;Nikyo;Shomenuchi;Tachi Waza;Tiado;Ura
Aihanmi Nikyo,https://www.youtube.com/watch?v=WDNWPcMM0BQ,Aihanmi;Chudan;John Bollinger;Katatedori;Miscellaneous;Nikyo;Tachi Waza;Tiado;Ura
Aihanmi Nikyo,https://www.youtube.com/watch?v=AuqYgpe3L2g,Aihanmi;Jodan;John Bollinger;Katatedori;Miscellaneous;Nikyo;Tachi Waza;Tiado;Ura
Yokomenuchi Kotegaeshi,https://www.youtube.com/watch?v=1Mb0PtQUHac,2nd Kyu;Aikiki Entrance;Jodan;John Bollinger;Kotegaeshi;Tachi Waza;Tiado;Ura;Yokomenuchi
Gyakuhanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=QfRIObuixRg,3rd Kyu;Gedan;Gyakuhanmi;John Bollinger;Katatedori;Kotegaeshi;Tachi Waza;Tiado;Ura
Gyakuhanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=AZ8PfWKlNDE,3rd Kyu;Gyakuhanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Tachi Waza;Tiado;Ura
Gyakuhanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=aiYlsvXJkIQ,3rd Kyu;Gyakuhanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Tachi Waza;Tiado;Ura
Aihanmi Shomenuchi Kotegaeshi Ura,https://www.youtube.com/watch?v=vUrFENFF3lM,2nd Kyu;Aihanmi;Jodan;John Bollinger;Kotegaeshi;Shomenuchi;Tachi Waza;Tiado;Ura
Suwariwaza Kotegaeshi,https://www.youtube.com/watch?v=QaHTnbwWKW4,3rd Kyu;Aihanmi;Jodan;John Bollinger;Kotegaeshi;Shomenuchi;Suwari Waza;Tiado;Ura
Aihanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=tx20DVDAcQw,Aihanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Miscellaneous;Tachi Waza;Tiado;Ura
Aihanmi Kotegaeshi (Discussion),https://www.youtube.com/watch?v=cKRA33C87Lg,4th Kyu;Aihanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Tachi Waza;Tiado;Ura
Aihanmi Kotegaeshi Ura,https://www.youtube.com/watch?v=h9IuHIFcWJY,4th Kyu;Aihanmi;Jodan;John Bollinger;Katatedori;Kotegaeshi;Tachi Waza;Tiado;Ura
Gyakuhanmi Kokyunage,https://www.youtube.com/watch?v=_CxMvz_FKaY,Gyakuhanmi;John Bollinger;Katatedori;Kokyunage;Miscellaneous;Tachi Waza;Tiado
Aihanmi Kokyunage,https://www.youtube.com/watch?v=9Gj5UrTey5c,Aihanmi;John Bollinger;Katatedori;Kokyunage;Miscellaneous;Tachi Waza;Tiado
Aihanmi Kokyunage,https://www.youtube.com/watch?v=lvv-hFkpSeI,Aihanmi;John Bollinger;Katatedori;Kokyunage;Miscellaneous;Tachi Waza;Tiado
Kokyuho Exercise,https://www.youtube.com/watch?v=LLZh5QAKCMo,John Bollinger;Kokyuho;Miscellaneous;Tachi Waza;Tiado
Suwari Waza Kokyuho,https://www.youtube.com/watch?v=SvzTk10HV1Q,5th Kyu;John Bollinger;Kokyuho;Suwari Waza;Tiado
Suwari Waza Kokyuho,https://www.youtube.com/watch?v=tiAntIn4H4c,5th Kyu;John Bollinger;Kokyuho;Suwari Waza;Tiado
Gyakuhanmi Kokyuho,https://www.youtube.com/watch?v=C4cXvwoLASs,Gyakuhanmi;John Bollinger;Katatedori;Kokyuho;Miscellaneous;Tachi Waza;Tiado
Gyakuhanmi Kaitennage Omote,https://www.youtube.com/watch?v=J_WzSAdwYpE,5th Kyu;Gyakuhanmi;John Bollinger;Kaitennage;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Kaitennage Omote,https://www.youtube.com/watch?v=uz_HX7XSw_E,5th Kyu;Gyakuhanmi;John Bollinger;Kaitennage;Katatedori;Omote;Tachi Waza;Tiado
Katadori Menuchi Iriminage (Discussion),https://www.youtube.com/watch?v=NlC2jP5ferU,1st Kyu;Iriminage;Jodan;John Bollinger;Katadori Menuchi;Omote;Tachi Waza;Tiado
Katadori Menuchi Iriminage,https://www.youtube.com/watch?v=UAx0uWLzLZ8,1st Kyu;Iriminage;Jodan;John Bollinger;Katadori Menuchi;Omote;Tachi Waza;Tiado
Gyakuhanmi Iriminage,https://www.youtube.com/watch?v=9uhFT_mfjgw,3rd Kyu;Gyakuhanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Iriminage,https://www.youtube.com/watch?v=hH21Xdivvo0,3rd Kyu;Gyakuhanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Iriminage,https://www.youtube.com/watch?v=BewVTcwzWY0,4th Kyu;Aihanmi;Iriminage;Jodan;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Iriminage Backstretch,https://www.youtube.com/watch?v=yVsO1Q18u0c,Aihanmi;Iriminage;Jodan;John Bollinger;Katatedori;Miscellaneous;Omote;Tachi Waza;Tiado
Shomenuchi Iriminage,https://www.youtube.com/watch?v=iGUMkvvAW-E,2nd Kyu;Aihanmi;Iriminage;Jodan;John Bollinger;Omote;Shomenuchi;Tachi Waza;Tiado
Katadori Menuchi Ikkyo Ura,https://www.youtube.com/watch?v=yRI3pvVzP1g,1st Kyu;Ikkyo;Jodan;John Bollinger;Katadori Menuchi;Tachi Waza;Tiado;Ura
Gyakuhanmi Katatedori Ikkyo Ura,https://www.youtube.com/watch?v=oSlynDDLxAE,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Gyakuhanmi Katatedori Ikkyo Ura,https://www.youtube.com/watch?v=sk9YHsTBQck,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Gyakuhanmi Ikkyo Omote,https://www.youtube.com/watch?v=Pf2yV0dJuRs,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Gyakuhanmi Ikkyo Omote,https://www.youtube.com/watch?v=ZxuDokKK2w8,3rd Kyu;Gyakuhanmi;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Ura,https://www.youtube.com/watch?v=hi2UNIuXzPA,4th Kyu;Aihanmi;Ikkyo;Jodan;John Bollinger;Katatedori;Tachi Waza;Tiado;Ura
Aihanmi Ikkyo Omote (Hip Discussion),https://www.youtube.com/watch?v=X2q80zjRVp8,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Omote (Lead Discussion),https://www.youtube.com/watch?v=u3chaPQSO0Y,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Tight Spaces,https://www.youtube.com/watch?v=eBMTKWl8NXw,Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Miscellaneous;Omote;Tachi Waza;Tiado
Aihanmi Ikkyo Omote,https://www.youtube.com/watch?v=Z-FwOJQi1_c,4th Kyu;Aihanmi;Chudan;Ikkyo;John Bollinger;Katatedori;Omote;Tachi Waza;Tiado
